dir,name,fm_outcome,rs_outcome,fm_ns,rs_ns,speedup
operators,test_range6,pass,pass,92608.3,2945.8,31.43740240342182
operators,test_range7,pass,pass,88360.2,2804.3,31.508825731911703
operators,test_range8,pass,pass,90909.1,3015.9,30.1432739812328
operators,test_range9,pass,pass,26080.5,530.5,49.162111215834116
operators,test_sparse100,pass,pass,867768.6,67901.7,12.779777236799667
operators,test_sparse101,pass,pass,866666.7,67455.0,12.848072048032021
operators,test_sparse102,pass,pass,1634920.6,96049.8,17.02159296531591
operators,test_sparse103,pass,pass,1557142.9,95767.0,16.259702193866364
operators,test_sparse104,pass,pass,1575757.6,93295.1,16.89003602547186
operators,test_sparse105,pass,pass,1619047.6,93929.3,17.23687496872648
operators,test_sparse106,pass,pass,1634920.6,93959.1,17.40034334087917
operators,test_sparse107,pass,pass,1575757.6,93845.5,16.79097665844393
operators,test_sparse108,pass,pass,1634920.6,93047.2,17.570873707107793
operators,test_sparse109,pass,pass,1700000.0,93957.5,18.09328685842003
operators,test_sparse110,pass,pass,1666666.7,93736.8,17.78028159698219
operators,test_sparse111,pass,pass,1650793.7,93646.8,17.62787089361302
operators,test_sparse112,pass,pass,1619047.6,97792.6,16.55593163490898
operators,test_sparse113,pass,pass,1716666.7,95858.5,17.9083409400314
operators,test_sparse114,pass,pass,765151.5,71683.9,10.673965841702252
operators,test_sparse115,pass,pass,762237.8,72037.0,10.581198550744757
operators,test_sparse117,pass,pass,874000000.0,109255406.0,7.999604156887211
operators,test_sparse37,pass,pass,208163.3,16298.5,12.77192993220235
operators,test_sparse38,pass,pass,315625.0,29011.1,10.879456483897544
operators,test_sparse39,pass,pass,206122.4,16452.6,12.52825693203506
operators,test_sparse40,pass,pass,318750.0,29277.7,10.887125696349099
operators,test_sparse41,pass,pass,204081.6,16060.0,12.707447073474471
operators,test_sparse42,pass,pass,315625.0,28971.9,10.894176771285279
operators,test_sparse43,pass,pass,169279.0,11949.1,14.166673640692604
operators,test_sparse44,pass,pass,230444.0,18698.7,12.324065309353056
operators,test_sparse50,pass,pass,145000000.0,7580473.2,19.128093481024376
operators,test_sparse51,pass,pass,634000000.0,14504560.9,43.71038905424569
operators,test_sparse52,pass,pass,162000000.0,6960669.9,23.273621982849665
operators,test_sparse53,pass,pass,574000000.0,14022797.6,40.93334414239852
operators,test_sparse54,pass,pass,102000000.0,7236534.6,14.095144380294956
